ts_code,code,name,total_market_val
REGN.US,REGN,Regeneron Pharmaceuticals,0
RF.US,RF,Regions Financial Corporation,0
RSG.US,RSG,Republic Services,0
RMD.US,RMD,ResMed,0
RVTY.US,RVTY,Revvity,0
HOOD.US,HOOD,Robinhood Markets,0
ROK.US,ROK,Rockwell Automation,0
ROL.US,ROL,"Rollins, Inc.",0
ROP.US,ROP,Roper Technologies,0
ROST.US,ROST,Ross Stores,0
RCL.US,RCL,Royal Caribbean Group,0
SPGI.US,SPGI,S&P Global,0
CRM.US,CRM,Salesforce,0
SNDK.US,SNDK,Sandisk,0
SBAC.US,SBAC,SBA Communications,0
SLB.US,SLB,Schlumberger,0
STX.US,STX,Seagate Technology,0
SRE.US,SRE,Sempra,0
NOW.US,NOW,ServiceNow,0
SHW.US,SHW,Sherwin-Williams,0
SPG.US,SPG,Simon Property Group,0
SWKS.US,SWKS,Skyworks Solutions,0
SJM.US,SJM,J.M. Smucker Company (The),0
SW.US,SW,Smurfit Westrock,0
SNA.US,SNA,Snap-on,0
SOLV.US,SOLV,Solventum,0
SO.US,SO,Southern Company,0
LUV.US,LUV,Southwest Airlines,0
SWK.US,SWK,Stanley Black & Decker,0
SBUX.US,SBUX,Starbucks,0
STT.US,STT,State Street Corporation,0
STLD.US,STLD,Steel Dynamics,0
STE.US,STE,Steris,0
SYK.US,SYK,Stryker Corporation,0
SMCI.US,SMCI,Supermicro,0
SYF.US,SYF,Synchrony Financial,0
SNPS.US,SNPS,Synopsys,0
SYY.US,SYY,Sysco,0
TMUS.US,TMUS,T-Mobile US,0
TROW.US,TROW,T. Rowe Price,0
TTWO.US,TTWO,Take-Two Interactive,0
TPR.US,TPR,"Tapestry, Inc.",0
TRGP.US,TRGP,Targa Resources,0
TGT.US,TGT,Target Corporation,0
TEL.US,TEL,TE Connectivity,0
TDY.US,TDY,Teledyne Technologies,0
TER.US,TER,Teradyne,0
TSLA.US,TSLA,"Tesla, Inc.",0
TXN.US,TXN,Texas Instruments,0
TPL.US,TPL,Texas Pacific Land Corporation,0
TXT.US,TXT,Textron,0
TMO.US,TMO,Thermo Fisher Scientific,0
TJX.US,TJX,TJX Companies,0
TKO.US,TKO,TKO Group Holdings,0
TTD.US,TTD,Trade Desk (The),0
TSCO.US,TSCO,Tractor Supply,0
TT.US,TT,Trane Technologies,0
TDG.US,TDG,TransDigm Group,0
TRV.US,TRV,Travelers Companies (The),0
TRMB.US,TRMB,Trimble Inc.,0
TFC.US,TFC,Truist Financial,0
TYL.US,TYL,Tyler Technologies,0
TSN.US,TSN,Tyson Foods,0
USB.US,USB,U.S. Bancorp,0
UBER.US,UBER,Uber,0
UDR.US,UDR,"UDR, Inc.",0
ULTA.US,ULTA,Ulta Beauty,0
UNP.US,UNP,Union Pacific Corporation,0
UAL.US,UAL,United Airlines Holdings,0
UPS.US,UPS,United Parcel Service,0
URI.US,URI,United Rentals,0
UNH.US,UNH,UnitedHealth Group,0
UHS.US,UHS,Universal Health Services,0
VLO.US,VLO,Valero Energy,0
VTR.US,VTR,Ventas,0
VLTO.US,VLTO,Veralto,0
VRSN.US,VRSN,Verisign,0
VRSK.US,VRSK,Verisk Analytics,0
VZ.US,VZ,Verizon,0
VRTX.US,VRTX,Vertex Pharmaceuticals,0
VRT.US,VRT,Vertiv,0
VTRS.US,VTRS,Viatris,0
VICI.US,VICI,Vici Properties,0
V.US,V,Visa Inc.,0
VST.US,VST,Vistra Corp.,0
VMC.US,VMC,Vulcan Materials Company,0
WRB.US,WRB,W. R. Berkley Corporation,0
GWW.US,GWW,W. W. Grainger,0
WAB.US,WAB,Wabtec,0
WMT.US,WMT,Walmart,0
DIS.US,DIS,Walt Disney Company (The),0
WBD.US,WBD,Warner Bros. Discovery,0
WM.US,WM,Waste Management,0
WAT.US,WAT,Waters Corporation,0
WEC.US,WEC,WEC Energy Group,0
WFC.US,WFC,Wells Fargo,0
WELL.US,WELL,Welltower,0
WST.US,WST,West Pharmaceutical Services,0
WDC.US,WDC,Western Digital,0
WY.US,WY,Weyerhaeuser,0
WSM.US,WSM,"Williams-Sonoma, Inc.",0
WMB.US,WMB,Williams Companies,0
WTW.US,WTW,Willis Towers Watson,0
WDAY.US,WDAY,"Workday, Inc.",0
WYNN.US,WYNN,Wynn Resorts,0
XEL.US,XEL,Xcel Energy,0
XYL.US,XYL,Xylem Inc.,0
YUM.US,YUM,Yum! Brands,0
ZBRA.US,ZBRA,Zebra Technologies,0
ZBH.US,ZBH,Zimmer Biomet,0
ZTS.US,ZTS,Zoetis,0
